## 無蝦米-大五碼-常用漢字：
,db 捌
,dc 柒
,de 壹
,df 肆
,dg 仟
,dj 拾
,dk 玖
,dl 陸
,do 零
,dp 佰
,dr 貳
,ds 參
,dv 萬
,dw 伍
,j 十
,sj 卅
a 對
aa 寸
aado 鎗
aaf 錢
aajq 鋪
aaom 鑰
aap 鈴
aaqq 錢
aat 鈴
aax 鈸
aaxu 鈸
aaxx 鈸
aay 鈐
ab 鎮
aba 鈽
abby 銼
abef 鎰
abi 郎
abk 銓
abk 鉼
abkd 鎂
abo 鉛
abor 銳
abp 鎗
abqp 銻
ac 鏡
acew 錄
aci 鐘
acj 鐘
acjo 鋸
acn 鐸
aco 銘
acr 劍
acrs 鏢
acs 鍊
acw 鏈
ad 會
ada 會
adb 錕
adem 鍚
adep 斂
adfu 鏝
adg 銲
adk 銀
adk 良
adkb 郎
adku 朗
adn 犬
adnm 錫
ado 倉
ador 創
adp 鉚
adr 劊
adrw 鑤
adto 錡
adub 郎
aduu 朗
advm 鍚
ae 金
aee 鈕
aee 錚
aegu 鍰
aeh 鏽
ael 鈍
aeot 鎘
aep 錫
aep 鍚
aeru 鍛
aew 鍵
aew 錄
aex 鍰
af 鑑
afa 鑄
afc 鑼
afdd 鍥
afe 盛
aff 鉅
afk 鈣
afnc 鐲
afsv 鑼
afvd 鏃
afy 鐸
afyg 鐸
ag 威
agca 鏘
age 錘
agea 鏘
agjy 錘
ago 鉗
agq 鍾
agua 鏘
agy 鎊
ah 感
aha 愈
ahdd 鍥
ahf 鍬
ahk 錶
ahp 鉍
ahr 鏽
ai 俞
aie 釭
aij 鋪
ain 欽
aiq 鈾
aiv 銜
aj 華
ajak 鐵
ajb 鎮
ajj 針
ajmb 鎮
ajnp 敷
ajnq 甫
ajo 鈷
ajqs 鍊
ajw 求
ajwk 裘
ajwp 救
ak 駐
ak 鐵
ake 主
akk 兮
akl 尤
akp 龍
akpb 龔
akpk 襲
akpr 聾
akpy 壟
akx 錢
akz 鑽
al 也
al 龍
albf 鑣
albf 鐮
aldr 鏡
alho 鎬
alj 鋅
alk 襲
aln 鑲
alnf 鎊
alno 鏑
alno 鎬
alok 鑲
aloo 鎬
alp 鏟
alpq 鐮
alps 鏟
alq 鐘
alq 鐮
alru 鍍
alu 鈑
alw 鉉
alx 鉸
am 貪
amb 鋇
amd 鋤
amg 鏤
amj 侖
amr 覦
amx 鏝
an 良
an 矣
ana 釣
anb 鈉
anb 鈞
anbe 鋼
anbo 鎔
ane 錚
aneo 銅
anez 錠
ang 銨
anl 鉋
ano 鉤
anol 鉋
anr 鈞
anu 鉤
anw 鎔
anx 鋼
anz 錠
ao 點
aob 郃
aobp 斂
aoee 翕
aoei 歙
aof 盒
aoh 拿
aojo 錮
aok 鍔
aonb 鍋
aonf 鴿
aoo 合
aoo 釦
aook 鍔
aoop 斂
aoor 劍
aop 命
aopo 鋁
aot 頜
aotb 頜
aov 鋁
ap 救
apa 釙
apb 鄰
apbw 鎚
apd 鉑
apdn 錦
apee 翎
apf 鋒
api 令
apj 錦
apmt 鎳
apnf 鴒
apo 鉻
apt 領
aptb 領
apx 斂
apx 鈹
aq 錢
aqaf 盞
aqb 戍
aqd 會
aqdr 劊
aqe 鋰
aqer 鐃
aqgr 臧
aqi 鉀
aqj 戎
aqn 成
aqn 鈇
aqnf 盛
aqo 鍋
aqo 鈿
aqo 鎬
aqoe 或
aqoh 惑
aqp 戊
aqpa 戍
aqpe 戌
aqpf 盛
aqpg 威
aqph 感
aqph 慼
aqpo 咸
aqps 戚
aqpy 成
aqpz 蹙
aqr 戒
aqr 划
aqr 劃
aqs 鏍
aqv 戌
aqvg 威
aqvh 感
aqvo 咸
aqx 戈
aqx 戎
ar 創
ar 划
ara 釩
arb 龔
ard 錯
arf 鑑
ari 劍
ari 釗
arj 聾
ark 銬
arn 鑠
aro 鉛
arq 錨
arrr 鑷
aruy 鏗
arv 划
arvf 鑑
as 戚
asb 銖
ase 鐺
asep 斂
aser 劍
asi 釧
asj 書
asmb 鎖
asn 鐵
asnq 鐺
asny 鏜
aso 鐺
asp 鈔
asq 錙
asr 銑
asrb 鑽
ass 銖
asu 銷
at 術
ata 令
atb 鄰
atd 斜
ate 缽
atee 翎
ati 釘
atl 術
atl 朮
atn 余
atn 術
atn 餘
atnf 鴒
atp 銻
atp 敘
atr 劊
att 領
attb 領
atu 敘
atv 銜
atw 述
atw 途
atzu 敘
au 澳
aua 釵
aue 朗
aue 鑰
auq 鐳
auq 鐸
aur 俞
aurh 愈
aurr 覦
aurw 逾
auv 奧
av 族
ave 錐
avm 鐫
avo 錡
avu 鐫
aw 錄
awf 鎢
awls 鏟
awn 逾
awn 迆
awn 過
awn 冰
awpt 鑠
ax 貸
axe 壹
axi 式
axn 鈽
axnf 鳶
axo 鏑
axr 貳
axrb 貳
axu 發
axu 髮
axx 弋
axx 義
ay 成
aye 壟
aye 鎰
ayh 念
aymb 貪
ayo 含
ayob 頷
ayoq 鐵
ayot 頷
aypk 銬
ayr 鐃
ayy 今
ayya 鑄
ayyr 鐃
az 之
azf 錳
azn 之
azo 鑽
azqf 鑪
b 八
ba 不
bac 險
bae 險
bafu 陰
bakp 隴
bal 隴
baob 險
bap 冷
baqo 減
base 險
bat 冷
bat 除
bav 慈
bayt 陰
bayu 陰
bb 資
bbb 眾
bbbj 傘
bbbu 脊
bbe 叢
bbef 隘
bbeq 隊
bbeu 陰
bbew 隧
bbey 墜
bbh 除
bbh 慫
bbj 傘
bbm 俎
bbn 從
bbn 隊
bbo 谷
bboh 慾
bboi 欲
bbop 卻
bbpd 階
bbq 羋
bbr 階
bbr 聳
bbv 鄭
bby 坐
bby 陛
bby 墜
bc 凍
bci 沖
bcj 陣
bcj 沖
bcs 陳
bcs 凍
bct 柒
bd 階
bda 頭
bde 岔
bdem 陽
bdez 隄
bdf 盆
bdf 斃
bdh 忿
bdk 限
bdmb 貧
bdn 頭
bdo 普
bdo 陽
bdp 分
bdp 剪
bdr 冽
bdt 頒
bdtb 頒
bdv 剪
bdvm 陽
be 並
bea 尊
bead 猷
beap 夔
beaw 遵
bebf 益
bed 奠
bed 關
bedb 鄭
bedw 送
bee 丕
beef 兼
beeh 隱
beei 歉
befd 普
befe 並
beih 隱
bel 陋
benl 陋
beo 酋
beot 隔
bep 陽
beqw 遂
besi 陘
beu 朔
beud 剪
beuf 煎
beur 前
beuy 塑
bev 翁
bew 逆
bewh 慈
beww 茲
bewz 孳
bez 歪
bezp 夔
bf 為
bfa 煎
bfe 盃
bfg 狹
bfl 侖
bfn 湊
bfnd 湊
bft 柒
bfu 脊
bfv 斃
bfvz 凝
bfy 防
bg 障
bge 陲
bgj 阡
bgjy 陲
bgn 陝
bgn 關
bgnb 鄭
bgnw 送
bgo 舍
bgob 館
bgou 舒
bh 隱
bha 余
bhap 羚
bhat 羚
bhbo 善
bhd 斜
bhd 羯
bhdl 羯
bhe 羞
bhee 翔
bhi 差
bhj 羊
bhle 羶
bhlm 羶
bhm 著
bhn 余
bhn 餘
bhna 養
bhnk 養
bhnr 養
bhp 敘
bhro 善
bhu 敘
bhv 慈
bhw 途
bhzu 敘
bi 前
bif 盜
big 姿
bih 恣
bii 丫
bii 個
bimb 資
bin 次
bio 咨
biv 羨
biw 瓷
bj 半
bja 際
bjj 阱
bjj 畢
bjn 隄
bjn 決
bjqs 陳
bjqs 凍
bjrs 際
bjv 障
bk 全
bkbi 羨
bkbo 善
bkbr 養
bkd 美
bke 全
bkf 羔
bkf 蓋
bkfd 羹
bkg 姜
bkh 恙
bki 義
bkik 羲
bkir 羲
bkj 并
bkj 並
bkk 兮
bkk 羲
bko 減
bkpe 羞
bkpi 差
bkpm 著
bkr 羌
bkri 羨
bkro 善
bkw 瓶
bkw 迸
bkwi 羨
bkx 養
bl 比
bla 禽
bldj 障
bll 亡
blo 陪
bloh 凜
blos 涼
blos 凜
blr 阬
bls 涼
blu 叛
blu 阪
blul 隴
blv 陋
blxu 禽
bm 陽
bmc 鄰
bmcs 鄰
bme 阻
bmf 馮
bmfh 憑
bmo 瞥
bmv 貧
bn 人
bnb 館
bnd 券
bne 淨
bneh 隱
bneq 豢
bnf 陀
bng 陷
bnh 拳
bni 陶
bni 謄
bnj 幣
bnm 眷
bno 凋
bnp 卷
bnq 甭
bnrr 院
bnwu 陶
bnyo 凋
bo 曾
bo 舍
boa 險
bod 普
boe 並
boh 總
bomb 隕
boo 否
bor 兌
bov 舍
bp 入
bpa 附
bpd 皆
bpdk 隍
bpes 隆
bpg 陴
bpl 倉
bpqg 陴
bpr 創
bps 降
bps 隆
bpv 陵
bpx 陂
bq 隊
bqd 曾
bqeo 獸
bqip 弟
bqir 剃
bqiw 遞
bqj 單
bqjq 戰
bqk 彆
bqnu 隅
bqp 弟
bqpr 剃
bqpw 遞
bqu 陸
bqy 彆
br 院
bri 判
bri 介
brj 弊
brp 羲
brr 阮
brru 脊
brs 際
bru 陬
brv 介
bs 隆
bsds 隙
bse 蘭
bsi 陘
bsps 隙
bsv 凍
bt 隔
bta 會
btd 陌
btm 首
btma 導
btmp 夔
btmw 道
btnl 陋
bto 阿
btr 劊
btzp 夔
bu 舒
bua 公
bue 陰
buee 翁
buf 鱉
bui 舒
bui 陘
buo 冶
but 頌
butb 頌
buv 阪
buy 陘
bv 善
bve 准
bve 準
bw 遵
bwf 為
bwn 冰
bwn 還
bwuu 禽
bwv 遂
bx 義
bx 敝
bxa 釜
bxc 爸
bxcc 爹
bxcl 爸
bxge 釜
bxiu 隋
bxiw 隨
bxiy 墮
bxk 斧
bxn 隨
bxp 爺
bxrb 爺
bxuw 隨
bxuy 墮
bxv 敝
bxx 父
bxy 陞
by 墜
bybp 凌
bybp 陵
byby 陸
bye 陸
bye 隘
byo 舍
byrp 凌
byrp 陵
byry 陸
byv 陵
byx 凌
byx 陵
byz 陡
bz 凝
bze 企
bzn 乏
c 七
