鎮 = AB  會 = AD  鑑 = AF  威 = AG  感 = AH  救 = AP  錢 = AQ  創 = AR  戚 = AS  錄 = AW
之 = AZ  資 = BB  階 = BD  為 = BF  隱 = BH  全 = BK  陽 = BM  隊 = BQ  院 = BR  隆 = BS
隔 = BT  舒 = BU  遵 = BW  墜 = BY  凝 = BZ  輿 = CB  屬 = CC  屠 = CD  擊 = CH  輻 = CQ
剝 = CR  繫 = CS  殿 = CU  覆 = CV  遲 = CW  壁 = CY  顯 = DB  照 = DF  裂 = DK  影 = DM
殘 = DQ  晚 = DR  景 = DS  題 = DT  暴 = DW  兩 = EB  融 = EC  習 = ED  群 = EH  辭 = EJ
釀 = EK  彩 = EM  舉 = EQ  劃 = ER  崇 = ES  頸 = ET  段 = EU  逼 = EW  再 = EY  正 = EZ
顧 = FB  螢 = FC  豐 = FD  慧 = FH  歐 = FI  斷 = FK  督 = FM  匪 = FS  榮 = FT  爆 = FW
疑 = FZ  動 = GD  怒 = GH  裝 = GK  重 = GQ  剩 = GR  乘 = GS  毀 = GU  好 = GZ  積 = HB
懊 = HD  穩 = HH  懷 = HK  悔 = HM  必 = HP  懂 = HQ  稅 = HR  慌 = HS  頹 = HT  悄 = HU
惟 = HV  黎 = HW  稱 = HY  讀 = IB  鞏 = IC  誤 = ID  譯 = IG  恐 = IH  讓 = IK  誨 = IM
評 = IP  說 = IR  謊 = IS  護 = IU  誕 = IW  講 = IY  戴 = JB  載 = JC  換 = JD  撫 = JF
幹 = JG  惠 = JH  控 = JI  裁 = JK  搶 = JO  撤 = JP  刺 = JR  排 = JS  栽 = JT  搬 = JU
擁 = JV  挺 = JW  挫 = JY  擬 = JZ  質 = KB  環 = KK  氣 = KM  理 = KQ  弄 = KR  廷 = KW
基 = KY  病 = LB  勵 = LD  熟 = LF  廳 = LH  哀 = LK  彰 = LM  痛 = LQ  競 = LR  牽 = LS
碟 = LT  厲 = LU  確 = LV  麼 = LW  壓 = LY  礎 = LZ  類 = MB  矚 = MC  盼 = MD  關 = MF
釋 = MG  德 = MH  往 = MK  循 = MM  驟 = MQ  閱 = MR  縣 = MS  衝 = MT  睛 = MU  從 = MZ
賽 = NB  觸 = NC  突 = ND  寫 = NF  安 = NG  憲 = NH  究 = NK  勿 = NM  危 = NP  幅 = NQ
剛 = NR  宗 = NS  額 = NT  竊 = NU  逸 = NW  塞 = NY  定 = NZ  圓 = OB  囑 = OC  因 = OD
距 = OF  蹈 = OG  園 = OK  號 = OL  圈 = OP  戰 = OQ  唬 = OR  圍 = OS  嘲 = OU  選 = OW
貨 = PB  使 = PC  候 = PD  儘 = PF  牌 = PG  億 = PH  譬 = PI  依 = PK  自 = PM  側 = PR
係 = PS  停 = PT  偶 = PU  邀 = PW  促 = PZ  弱 = QB  獨 = QC  體 = QD  弧 = QG  愚 = QH
甲 = QI  界 = QR  獵 = QS  獲 = QU  遇 = QW  共 = RB  輩 = RC  著 = RD  聯 = RF  舊 = RG
聽 = RH  落 = RO  福 = RQ  視 = RR  非 = RS  藝 = RT  萬 = RU  遭 = RW  續 = SB  輝 = SC
縮 = SD  黨 = SF  總 = SH  製 = SK  省 = SM  常 = SN  緣 = SQ  覺 = SR  綜 = SS  繼 = SW
堂 = SY  縱 = SZ  檢 = TB  樓 = TG  想 = TH  相 = TM  棒 = TQ  械 = TR  標 = TS  樣 = TU
構 = TY  楚 = TZ  預 = UB  勝 = UD  熊 = UF  脾 = UG  態 = UH  參 = UM  脫 = UR  服 = UU
遙 = UW  墾 = UY  智 = VD  無 = VF  矮 = VG  怎 = VH  每 = VM  複 = VP  裡 = VQ  舞 = VS
集 = VT  鬆 = VU  顏 = WB  濁 = WC  響 = WD  濕 = WF  濾 = WH  漲 = WK  海 = WM  激 = WP
灣 = WQ  測 = WR  漂 = WS  梁 = WT  法 = WU  滋 = WW  洲 = WY  殺 = XU  在 = XY  存 = XZ
都 = YB  勢 = YD  熱 = YF  趕 = YG  摯 = YH  款 = YI  壞 = YK  起 = YL  趁 = YM  超 = YO
境 = YR  末 = YS  願 = YT  報 = YU  遠 = YW  州 = YY  執 = YZ  籲 = ZB  籍 = ZD  盤 = ZF
孤 = ZG  慮 = ZH  虧 = ZK  第 = ZP  戲 = ZQ  劇 = ZR  歲 = ZS  築 = ZT  般 = ZU  遽 = ZW
妥 = EG  可 = TO  台 = UO  跑 = ON
