GMS APKs,,App, Initial R1,R2,R3,Description,prebuilt repository
Books.apk,com.google.android.apps.books,Books,3.0.15,3.1.33,3.1.33, Google Books application,vendor/google/gms/dist/apps
BrowserProviderProxy.apk,com.android.browser.provider,,4.4,4.4,4.4,THIS MUST BE SIGNED BY PARTNER - Needed if Chrome is the only pre-loaded Browser (see Chrome Integration Instructions),
CalendarGoogle.apk,com.google.android.calendar,Calendar,201308023,201308023,201308023,Google version of platform calendar app ,
Chrome.apk,com.android.chrome,Chrome,30.0.1599.92,33.0.1750.136,34.0.1847.114,Chrome Browser,
ConfigUpdater.apk,com.google.android.configupdater,Config Updater,4.4,4.4,4.4,Configuration Updater,
ChromeBookmarksSyncAdapter.apk,com.google.android.syncadapters.bookmarks,Bookmarks Sync,DEPRECATED,4.4,4.4,This app has been deprecated starting from KK MR1 GMS,
CloudPrint.apk,com.google.android.apps.cloudprint,Cloud Print,0.8.10,0.9.2,0.9.2,Enables priting to any Cloud Print-enabled printer,
DeskClockGoogle.apk,com.google.android.deskclock,Clock,3.0.0,3.0.0,3.0.0,Google version of platform desk clock app,
Drive.apk,com.google.android.apps.docs,Drive,,1.2.563.31,1.2.563.31,,
FaceLock.apk,com.android.facelock,FaceLock,4.4,4.4,4.4,Used for unlocking device using facial recognition,
GalleryGoogle.apk,com.google.android.gallery3d,Gallery,1.1.40304,1.1.40304,1.1.40304,Google version of platform Gallery 3D and Camera app,
Gmail.apk,com.google.android.gm,Gmail,4.6.1,4.7.2 (967015),4.7.2 (967015), Gmail client application,vendor/google/gms/dist/apps
GmsCore.apk,com.google.android.gms,Google Play Services,4.0.33,4.2.43,4.3.24,Google Play Services,
GoogleBackupTransport.apk,com.google.android.backup,Backup,4.4,4.4,4.4,Allows backup of user's personal data to Googler servers with Google account. (Details),
GoogleCalendarSyncAdapter.apk,com.google.android.syncadapters.calendar,Calendar Sync,4.4,4.4.2-951900,4.4.2-951900, Provides sync adapter for Google calendar sync - folded into CalendarGoogle,
GoogleCamera.apk,com.google.android.GoogleCamera,Google Camera,2.0.001,2.0.001,2.0.001,Google Camera introduced in 4.4,
GoogleContactsSyncAdapter.apk,com.google.android.syncadapters.contacts,Contacts Sync,4.4,4.4,4.4, Provides sync adapter for Google contacts sync,
GoogleFeedback.apk,com.google.android.feedback,Google Feedback,4.4,4.4,4.4,Collects data for developers whenever a running Market application freezes or crashes. (Details),
GoogleLoginService.apk,com.google.android.gsf.login,Google Login Service,4.4,4.4,4.4, Service used by Google apps to acquire login credentials  ,
GoogleOneTimeInitializer.apk,com.google.android.onetimeinitializer,One Time Initializer,4.4,4.4,4.4,One-time initialization after installation ,
GooglePartnerSetup.apk,com.google.android.partnersetup,Google Partner Setup,4.4,4.4,4.4, A set of shared components used by Google applications to configure partner-specific parameters,
