# data extract from unihan.txt total 13063 char
# but cp950 has 13503 chars (some symbols are not here)
U+4E00	A440	¤@
U+4E01	A442	¤B
U+4E03	A443	¤C
U+4E07	C945	ÉE
U+4E08	A456	¤V
U+4E09	A454	¤T
U+4E0A	A457	¤W
U+4E0B	A455	¤U
U+4E0C	C946	ÉF
U+4E0D	A4A3	¤£
U+4E0E	C94F	ÉO
U+4E0F	C94D	ÉM
U+4E10	A4A2	¤¢
U+4E11	A4A1	¤¡
U+4E14	A542	¥B
U+4E15	A541	¥A
U+4E16	A540	¥@
U+4E18	A543	¥C
U+4E19	A4FE	¤þ
U+4E1E	A5E0	¥à
U+4E1F	A5E1	¥á
U+4E26	A8C3	¨Ã
U+4E2B	A458	¤X
U+4E2D	A4A4	¤¤
U+4E2E	C950	ÉP
U+4E30	A4A5	¤¥
U+4E31	C963	Éc
U+4E32	A6EA	¦ê
U+4E33	CBB1	Ë±
U+4E38	A459	¤Y
U+4E39	A4A6	¤¦
U+4E3B	A544	¥D
U+4E3C	C964	Éd
U+4E42	C940	É@
U+4E43	A444	¤D
U+4E45	A45B	¤[
U+4E47	C947	ÉG
U+4E48	A45C	¤\
U+4E4B	A4A7	¤§
U+4E4D	A545	¥E
U+4E4E	A547	¥G
U+4E4F	A546	¥F
U+4E52	A5E2	¥â
U+4E53	A5E3	¥ã
U+4E56	A8C4	¨Ä
U+4E58	ADBC	­¼
U+4E59	A441	¤A
U+4E5C	C941	ÉA
U+4E5D	A445	¤E
U+4E5E	A45E	¤^
U+4E5F	A45D	¤]
U+4E69	A5E4	¥ä
U+4E73	A8C5	¨Å
U+4E7E	B0AE	°®
U+4E7F	D44B	ÔK
U+4E82	B6C3	¶Ã
U+4E83	DCB1	Ü±
U+4E84	DCB2	Ü²
U+4E86	A446	¤F
U+4E88	A4A9	¤©
U+4E8B	A8C6	¨Æ
U+4E8C	A447	¤G
U+4E8D	C948	ÉH
U+4E8E	A45F	¤_
U+4E91	A4AA	¤ª
U+4E92	A4AC	¤¬
U+4E93	C951	ÉQ
U+4E94	A4AD	¤­
U+4E95	A4AB	¤«
U+4E99	A5E5	¥å
U+4E9B	A8C7	¨Ç
U+4E9E	A8C8	¨È
U+4E9F	AB45	«E
U+4EA1	A460	¤`
U+4EA2	A4AE	¤®
U+4EA4	A5E6	¥æ
U+4EA5	A5E8	¥è
U+4EA6	A5E7	¥ç
U+4EA8	A6EB	¦ë
U+4EAB	A8C9	¨É
U+4EAC	A8CA	¨Ê
U+4EAD	AB46	«F
U+4EAE	AB47	«G
U+4EB3	ADBD	­½
U+4EB6	DCB3	Ü³
U+4EB9	F6D6	öÖ
U+4EBA	A448	¤H
U+4EC0	A4B0	¤°
U+4EC1	A4AF	¤¯
U+4EC2	C952	ÉR
U+4EC3	A4B1	¤±
U+4EC4	A4B7	¤·
U+4EC6	A4B2	¤²
U+4EC7	A4B3	¤³
U+4EC8	C954	ÉT
U+4EC9	C953	ÉS
U+4ECA	A4B5	¤µ
U+4ECB	A4B6	¤¶
U+4ECD	A4B4	¤´
U+4ED4	A54A	¥J
U+4ED5	A54B	¥K
U+4ED6	A54C	¥L
U+4ED7	A54D	¥M
U+4ED8	A549	¥I
U+4ED9	A550	¥P
U+4EDA	C96A	Éj
U+4EDC	C966	Éf
U+4EDD	C969	Éi
U+4EDE	A551	¥Q
U+4EDF	A561	¥a
U+4EE1	C968	Éh
U+4EE3	A54E	¥N
U+4EE4	A54F	¥O
U+4EE5	A548	¥H
U+4EE8	C965	Ée
U+4EE9	C967	Ég
U+4EF0	A5F5	¥õ
U+4EF1	C9B0	É°
U+4EF2	A5F2	¥ò
U+4EF3	A5F6	¥ö
U+4EF4	C9BA	Éº
U+4EF5	C9AE	É®
U+4EF6	A5F3	¥ó
U+4EF7	C9B2	É²
U+4EFB	A5F4	¥ô
U+4EFD	A5F7	¥÷
U+4EFF	A5E9	¥é
U+4F00	C9B1	É±
U+4F01	A5F8	¥ø
U+4F02	C9B5	Éµ
U+4F04	C9B9	É¹
U+4F05	C9B6	É¶
U+4F08	C9B3	É³
U+4F09	A5EA	¥ê
U+4F0A	A5EC	¥ì
U+4F0B	A5F9	¥ù
U+4F0D	A5EE	¥î
U+4F0E	C9AB	É«
U+4F0F	A5F1	¥ñ
U+4F10	A5EF	¥ï
U+4F11	A5F0	¥ð
U+4F12	C9BB	É»
U+4F13	C9B8	É¸
U+4F14	C9AF	É¯
U+4F15	A5ED	¥í
U+4F18	C9AC	É¬
U+4F19	A5EB	¥ë
U+4F1D	C9B4	É´
U+4F22	C9B7	É·
U+4F2C	C9AD	É­
U+4F2D	CA66	Êf
U+4F2F	A742	§B
U+4F30	A6F4	¦ô
U+4F33	CA67	Êg
U+4F34	A6F1	¦ñ
U+4F36	A744	§D
U+4F38	A6F9	¦ù
U+4F3A	A6F8	¦ø
U+4F3B	CA5B	Ê[
U+4F3C	A6FC	¦ü
U+4F3D	A6F7	¦÷
U+4F3E	CA60	Ê`
U+4F3F	CA68	Êh
U+4F41	CA64	Êd
U+4F43	A6FA	¦ú
U+4F46	A6FD	¦ý
U+4F47	A6EE	¦î
U+4F48	A747	§G
U+4F49	CA5D	Ê]
U+4F4C	CBBD	Ë½
U+4F4D	A6EC	¦ì
U+4F4E	A743	§C
U+4F4F	A6ED	¦í
U+4F50	A6F5	¦õ
U+4F51	A6F6	¦ö
U+4F52	CA62	Êb
U+4F53	CA5E	Ê^
U+4F54	A6FB	¦û
U+4F55	A6F3	¦ó
U+4F56	CA5A	ÊZ
U+4F57	A6EF	¦ï
U+4F58	CA65	Êe
U+4F59	A745	§E
U+4F5A	A748	§H
U+4F5B	A6F2	¦ò
U+4F5C	A740	§@
U+4F5D	A746	§F
U+4F5E	A6F0	¦ð
U+4F5F	CA63	Êc
U+4F60	A741	§A
U+4F61	CA69	Êi
U+4F62	CA5C	Ê\
U+4F63	A6FE	¦þ
U+4F64	CA5F	Ê_
U+4F67	CA61	Êa
U+4F69	A8D8	¨Ø
U+4F6A	CBBF	Ë¿
U+4F6B	CBCB	ËË
U+4F6C	A8D0	¨Ð
U+4F6E	CBCC	ËÌ
U+4F6F	A8CB	¨Ë
U+4F70	A8D5	¨Õ
U+4F73	A8CE	¨Î
U+4F74	CBB9	Ë¹
U+4F75	A8D6	¨Ö
U+4F76	CBB8	Ë¸
U+4F77	CBBC	Ë¼
U+4F78	CBC3	ËÃ
U+4F79	CBC1	ËÁ
U+4F7A	A8DE	¨Þ
U+4F7B	A8D9	¨Ù
U+4F7C	CBB3	Ë³
U+4F7D	CBB5	Ëµ
U+4F7E	A8DB	¨Û
U+4F7F	A8CF	¨Ï
U+4F80	CBB6	Ë¶
U+4F81	CBC2	ËÂ
U+4F82	CBC9	ËÉ
U+4F83	A8D4	¨Ô
U+4F84	CBBB	Ë»
U+4F85	CBB4	Ë´
U+4F86	A8D3	¨Ó
U+4F87	CBB7	Ë·
U+4F88	A8D7	¨×
U+4F89	CBBA	Ëº
U+4F8B	A8D2	¨Ò
U+4F8D	A8CD	¨Í
U+4F8F	A8DC	¨Ü
U+4F90	CBC4	ËÄ
U+4F91	A8DD	¨Ý
U+4F92	CBC8	ËÈ
U+4F94	CBC6	ËÆ
U+4F95	CBCA	ËÊ
U+4F96	A8DA	¨Ú
U+4F97	CBBE	Ë¾
U+4F98	CBB2	Ë²
U+4F9A	CBC0	ËÀ
U+4F9B	A8D1	¨Ñ
U+4F9C	CBC5	ËÅ
U+4F9D	A8CC	¨Ì
U+4F9E	CBC7	ËÇ
U+4FAE	AB56	«V
U+4FAF	AB4A	«J
U+4FB2	CDE0	Íà
U+4FB3	CDE8	Íè
U+4FB5	AB49	«I
U+4FB6	AB51	«Q
U+4FB7	AB5D	«]
U+4FB9	CDEE	Íî
U+4FBA	CDEC	Íì
U+4FBB	CDE7	Íç
U+4FBF	AB4B	«K
U+4FC0	CDED	Íí
U+4FC1	CDE3	Íã
U+4FC2	AB59	«Y
U+4FC3	AB50	«P
U+4FC4	AB58	«X
U+4FC5	CDDE	ÍÞ
U+4FC7	CDEA	Íê
U+4FC9	CDE1	Íá
U+4FCA	AB54	«T
U+4FCB	CDE2	Íâ
U+4FCD	CDDD	ÍÝ
U+4FCE	AB5B	«[
U+4FCF	AB4E	«N
U+4FD0	AB57	«W
U+4FD1	AB4D	«M
U+4FD3	CDDF	Íß
U+4FD4	CDE4	Íä
U+4FD6	CDEB	Íë
U+4FD7	AB55	«U
U+4FD8	AB52	«R
U+4FD9	CDE6	Íæ
U+4FDA	AB5A	«Z
U+4FDB	CDE9	Íé
U+4FDC	CDE5	Íå
