# 簡體 -> 繁體 (一對二字)
板	板闆
杯	杯盃
辟	辟闢
表	表錶
别	別彆
卜	卜蔔
布	布佈
才	才纔
彩	彩綵
参	參蔘
冲	沖衝
虫	虫蟲
丑	丑醜
仇	仇讎
出	出齣
村	村邨
粗	粗麤
酬	酬醻
当	當噹
党	黨党
淀	澱淀
吊	弔吊
冬	冬鼕
发	發髮
范	范範
丰	豐丰
谷	谷穀
雇	雇僱
刮	刮颳
广	廣广
哄	哄鬨
后	後后
伙	夥伙
获	獲穫
几	幾几
饥	飢饑
迹	跡蹟
奸	奸姦
姜	姜薑
借	借藉
尽	盡儘
据	據据
卷	捲卷
克	克剋
困	困睏
夸	夸誇
罗	羅囉
累	累纍
厘	厘釐
漓	漓灕
梁	梁樑
了	了瞭
霉	霉黴
弥	彌瀰
蔑	蔑衊
么	么麼
麽	麽麼
苹	蘋苹
仆	僕仆
铺	鋪舖
朴	朴樸
签	簽籤
确	確确
舍	舍捨
沈	沈瀋
胜	勝胜
术	術朮
松	松鬆
它	它牠
他	他祂
叹	嘆歎
坛	壇罈
体	體体
同	同衕
涂	涂塗
团	團糰
喂	喂餵
为	為爲
纤	纖縴
咸	鹹咸
弦	弦絃
绣	綉繡
须	須鬚
熏	熏燻
腌	醃腌
叶	葉叶
佣	傭佣
涌	湧涌
游	游遊
于	於于
余	余餘
吁	籲吁
郁	郁鬱
欲	欲慾
御	御禦
愿	願愿
岳	岳嶽
云	雲云
赞	贊讚
脏	臟髒
扎	扎紮
占	占佔
折	折摺
征	征徵
证	證証
志	志誌
制	制製
致	致緻
钟	鍾鐘
种	種种
周	周週
注	註注
准	準准
冢	塚冢
庄	庄莊
涩	澀澁
蚕	蠶蚕
忏	懺忏
吨	噸吨
赶	趕赶
构	構构
柜	櫃柜
怀	懷怀
坏	壞坏
极	極极
茧	繭茧
家	家傢
价	價价
洁	潔洁
惊	驚惊
腊	臘腊
蜡	蠟蜡
帘	簾帘
怜	憐怜
岭	嶺岭
扑	撲扑
秋	秋鞦
千	千韆
确	確确
扰	擾扰
洒	灑洒
晒	曬晒
适	適适
听	聽听
洼	窪洼
网	網网
旋	旋鏇
踊	踴踊
优	優优
症	症癥
朱	朱硃
荐	薦荐
离	離离
卤	鹵滷
气	氣气
圣	聖圣
万	萬万
与	與与
摆	擺襬
虮	蟣虮
篱	籬篱
泞	濘泞
恶	惡噁
托	托託
杰	杰傑
