jjSASKSQSJ	(2) royal straight flush!
jjSASKSQHA	(6) 3 cards
jjSASKSQHK	(6) 3 cards
jjSASKSQHQ	(6) 3 cards
jjSASKSQHJ	(5) straight!
jjSASKSQCA	(6) 3 cards
jjSASKSQCK	(6) 3 cards
jjSASKSQCQ	(6) 3 cards
jjSASKSQCJ	(5) straight!
jjSASKSQDA	(6) 3 cards
jjSASKSQDK	(6) 3 cards
jjSASKSQDQ	(6) 3 cards
jjSASKSQDJ	(5) straight!
jjSASKSJHA	(6) 3 cards
jjSASKSJHK	(6) 3 cards
jjSASKSJHQ	(5) straight!
jjSASKSJHJ	(6) 3 cards
jjSASKSJCA	(6) 3 cards
jjSASKSJCK	(6) 3 cards
jjSASKSJCQ	(5) straight!
jjSASKSJCJ	(6) 3 cards
jjSASKSJDA	(6) 3 cards
jjSASKSJDK	(6) 3 cards
jjSASKSJDQ	(5) straight!
jjSASKSJDJ	(6) 3 cards
jjSASKHAHK	(4) full house
jjSASKHAHQ	(6) 3 cards
jjSASKHAHJ	(6) 3 cards
jjSASKHACA	(6) 3 cards
jjSASKHACK	(4) full house
jjSASKHACQ	(6) 3 cards
jjSASKHACJ	(6) 3 cards
jjSASKHADA	(6) 3 cards
jjSASKHADK	(4) full house
jjSASKHADQ	(6) 3 cards
jjSASKHADJ	(6) 3 cards
jjSASKHKHQ	(6) 3 cards
jjSASKHKHJ	(6) 3 cards
jjSASKHKCA	(4) full house
jjSASKHKCK	(6) 3 cards
jjSASKHKCQ	(6) 3 cards
jjSASKHKCJ	(6) 3 cards
jjSASKHKDA	(4) full house
jjSASKHKDK	(6) 3 cards
jjSASKHKDQ	(6) 3 cards
jjSASKHKDJ	(6) 3 cards
jjSASKHQHJ	(5) straight!
jjSASKHQCA	(6) 3 cards
jjSASKHQCK	(6) 3 cards
jjSASKHQCQ	(6) 3 cards
jjSASKHQCJ	(5) straight!
jjSASKHQDA	(6) 3 cards
jjSASKHQDK	(6) 3 cards
jjSASKHQDQ	(6) 3 cards
jjSASKHQDJ	(5) straight!
jjSASKHJCA	(6) 3 cards
jjSASKHJCK	(6) 3 cards
jjSASKHJCQ	(5) straight!
jjSASKHJCJ	(6) 3 cards
jjSASKHJDA	(6) 3 cards
jjSASKHJDK	(6) 3 cards
jjSASKHJDQ	(5) straight!
jjSASKHJDJ	(6) 3 cards
jjSASKCACK	(4) full house
jjSASKCACQ	(6) 3 cards
jjSASKCACJ	(6) 3 cards
jjSASKCADA	(6) 3 cards
jjSASKCADK	(4) full house
jjSASKCADQ	(6) 3 cards
jjSASKCADJ	(6) 3 cards
jjSASKCKCQ	(6) 3 cards
jjSASKCKCJ	(6) 3 cards
jjSASKCKDA	(4) full house
jjSASKCKDK	(6) 3 cards
jjSASKCKDQ	(6) 3 cards
jjSASKCKDJ	(6) 3 cards
jjSASKCQCJ	(5) straight!
jjSASKCQDA	(6) 3 cards
jjSASKCQDK	(6) 3 cards
jjSASKCQDQ	(6) 3 cards
jjSASKCQDJ	(5) straight!
jjSASKCJDA	(6) 3 cards
jjSASKCJDK	(6) 3 cards
jjSASKCJDQ	(5) straight!
jjSASKCJDJ	(6) 3 cards
jjSASKDADK	(4) full house
jjSASKDADQ	(6) 3 cards
jjSASKDADJ	(6) 3 cards
jjSASKDKDQ	(6) 3 cards
jjSASKDKDJ	(6) 3 cards
jjSASKDQDJ	(5) straight!
jjSASQSJHA	(6) 3 cards
jjSASQSJHK	(5) straight!
jjSASQSJHQ	(6) 3 cards
jjSASQSJHJ	(6) 3 cards
