3 ˇ
4 ˋ
6 ˊ
7 ˙
, ㄝ
,4 誒
- ㄦ
-3 爾
-4 二
-6 兒
. 歐
.3 偶
.4 嘔
.6 吽
/ 鞥
0 安
03 俺
04 暗
06 雸
1 ㄅ
1/ 崩
1/3 菶
1/4 蹦
1/6 甭
10 班
103 板
104 半
18 八
183 把
184 罷
186 拔
187 吧
19 掰
193 百
194 敗
196 白
1; 幫
1;3 榜
1;4 棒
1i 玻
1i3 跛
1i4 播
1i6 伯
1j 逋
1j3 補
1j4 不
1j6 不
1l 包
1l3 保
1l4 報
1l6 雹
1o 背
1o3 北
1o4 被
1p 奔
1p3 本
1p4 笨
1u 逼
1u, 憋
1u,3 癟
1u,4 彆
1u,6 別
1u/ 兵
1u/3 餅
1u/4 並
1u0 邊
1u03 扁
1u04 便
1u3 比
1u4 必
1u6 鼻
1ul 標
1ul3 表
1ul4 鰾
1up 賓
1up4 殯
2 ㄉ
2. 都
2.3 斗
2.4 鬥
2/ 登
2/3 等
2/4 鄧
20 單
203 膽
204 但
28 搭
283 打
284 大
286 答
29 呆
293 歹
294 代
2; 當
2;3 檔
2;4 當
2j 都
2j/ 東
2j/3 懂
2j/4 動
2j0 端
2j03 短
2j04 段
2j3 賭
2j4 度
2j6 讀
2ji 多
2ji3 躲
2ji4 惰
2ji6 奪
2jo 堆
2jo4 對
2jp 敦
2jp3 盹
2jp4 頓
2k6 得
2k7 的
2l 刀
2l3 倒
2l4 到
2o3 得
2u 低
2u, 爹
2u,6 跌
2u. 丟
2u/ 丁
2u/3 頂
2u/4 定
2u0 顛
2u03 點
2u04 電
2u3 底
2u4 地
2u6 的
2u8 嗲
2ul 雕
2ul3 屌
2ul4 調
5 之
5. 周
5.3 帚
5.4 晝
5.6 軸
5/ 爭
5/3 整
5/4 鄭
50 詹
503 展
504 佔
53 只
54 至
56 直
58 渣
583 眨
584 榨
586 扎
59 摘
593 窄
594 債
596 宅
5; 張
5;3 長
5;4 丈
5j 珠
