"CName","幣別","買入","賣出"
"USD","美金 (USD)",30.365,31.055
"HKD","港幣 (HKD)",3.755,3.971
"GBP","英鎊 (GBP)",38.55,40.67
"AUD","澳幣 (AUD)",21.69,22.47
"CAD","加拿大幣 (CAD)",22.85,23.76
"SGD","新加坡幣 (SGD)",21.77,22.68
"CHF","瑞士法郎 (CHF)",30.9,32.1
"JPY","日圓 (JPY)",0.2672,0.28
"SEK","瑞典幣 (SEK)",3.01,3.53
"NZD","紐元 (NZD)",19.79,20.64
"THB","泰幣 (THB)",0.8149,1.0029
"PHP","菲國比索 (PHP)",0.5011,0.6341
"IDR","印尼幣 (IDR)",0.00173,0.00243
"EUR","歐元 (EUR)",34.98,36.32
"KRW","韓元 (KRW)",0.02566,0.02956
"VND","越南盾 (VND)",0.00095,0.00145
"MYR","馬來幣 (MYR)",6.33,7.96
"CNY","人民幣 (CNY)",4.393,4.555
